날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 12월 12일,7208,7208,7272.4,7124.6,611.80K,0.00%
2019년 12월 11일,7208,7235.8,7284.4,7168.8,518.40K,-0.38%
2019년 12월 10일,7235.7,7356.2,7400.3,7192.1,609.50K,-1.63%
2019년 12월 9일,7355.8,7524.8,7626,7321.6,648.66K,-2.24%
2019년 12월 8일,7524.4,7510.8,7576.4,7416.7,499.04K,0.18%
2019년 12월 7일,7510.9,7530.4,7595.7,7489.6,557.14K,-0.26%
2019년 12월 6일,7530.8,7399.2,7552.1,7329.8,706.10K,1.78%
2019년 12월 5일,7399.2,7204.6,7476.3,7184,780.78K,2.70%
2019년 12월 4일,7204.4,7291.9,7702.2,7113.6,971.75K,-1.20%
2019년 12월 3일,7291.8,7298.1,7389.4,7227.1,548.77K,-0.09%
2019년 12월 2일,7298.2,7395.9,7433.8,7173.6,687.78K,-1.33%
2019년 12월 1일,7396.4,7546.5,7546.5,7244.4,777.00K,-1.99%
2019년 11월 30일,7546.6,7742.7,7787.7,7472.7,650.60K,-2.53%
2019년 11월 29일,7742.7,7426.6,7825.3,7412.3,766.71K,4.26%
2019년 11월 28일,7426.7,7510.6,7639.5,7380.6,737.58K,-1.12%
2019년 11월 27일,7510.6,7162.8,7636.9,6875.4,996.49K,4.86%
2019년 11월 26일,7162.8,7115.5,7329.5,7045.1,844.27K,0.66%
2019년 11월 25일,7115.6,6924.7,7352.8,6534.8,1.29M,2.76%
2019년 11월 24일,6924.7,7325,7344.1,6894.9,904.50K,-5.45%
2019년 11월 23일,7324.1,7271.6,7342.5,7093.7,783.18K,0.71%
2019년 11월 22일,7272.5,7627.9,7700.9,6818.5,1.41M,-4.66%
2019년 11월 21일,7627.9,8099.4,8129.6,7519.7,891.50K,-5.82%
2019년 11월 20일,8099.3,8145.7,8223,8074.2,607.27K,-0.57%
2019년 11월 19일,8145.7,8207.7,8245.6,8032.8,654.27K,-0.76%
